"sub","ses","task","datatype","trial_n","cold_t","warm_t","burn_yn","temp_cw"
"2","1","fast","beh",6,18,39.9000015258789,0,1
"2","1","fast","beh",7,27,43.7999992370605,0,1
"2","1","fast","beh",8,9,40.5,0,1
"2","1","fast","beh",9,3,39.7000007629395,0,1
"2","1","fast","beh",10,21,44,1,1
"2","1","fast","beh",11,9,38.9000015258789,0,1
"2","1","fast","beh",12,24,41.4000015258789,0,1
"2","1","fast","beh",13,15,45.2000007629395,0,1
"2","1","fast","beh",14,27,49.2999992370605,1,1
"2","1","fast","beh",15,6,41.5,0,0
"2","1","fast","beh",16,3,42.4000015258789,0,1
"2","1","fast","beh",17,3,43.2000007629395,0,1
"2","1","fast","beh",18,6,47.2000007629395,1,1
"2","1","fast","beh",19,15,46,1,0
"2","1","fast","beh",20,0,45.0999984741211,0,0
"2","1","fast","beh",21,12,45.7999992370605,0,0
"2","1","fast","beh",22,3,46.9000015258789,1,0
"2","1","fast","beh",23,21,43.4000015258789,0,1
"2","1","fast","beh",24,12,46.0999984741211,0,1
"2","1","fast","beh",25,21,44.2000007629395,0,1
"2","1","fast","beh",26,27,44.7999992370605,0,1
"2","1","fast","beh",27,6,46.9000015258789,1,0
"2","1","fast","beh",28,18,48.9000015258789,1,0
"2","1","fast","beh",29,18,48.2999992370605,1,0
"2","1","fast","beh",30,9,47.5,1,0
"2","1","fast","beh",31,0,46.7999992370605,0,1
"2","1","fast","beh",32,3,48.0999984741211,1,1
"2","1","fast","beh",33,18,48.2000007629395,1,1
"2","1","fast","beh",34,3,47.5,1,0
"2","1","fast","beh",35,12,44.4000015258789,0,1
"2","1","fast","beh",36,9,46.0999984741211,0,1
"2","1","fast","beh",37,18,46.7999992370605,1,0
"2","1","fast","beh",38,3,44.9000015258789,0,1
"2","1","fast","beh",39,0,45.2000007629395,1,1
"2","1","fast","beh",40,27,45.5,0,1
"2","1","fast","beh",41,3,47.4000015258789,1,0
"2","1","fast","beh",42,21,45.0999984741211,0,1
"2","1","fast","beh",43,15,44.9000015258789,0,0
"2","1","fast","beh",44,18,48,1,0
"2","1","fast","beh",45,12,46.2000007629395,0,1
"2","1","fast","beh",46,9,45.2000007629395,0,1
"2","1","fast","beh",47,24,48.4000015258789,1,1
"2","1","fast","beh",48,3,45.2000007629395,1,1
"2","1","fast","beh",49,24,45.5,0,1
"2","1","fast","beh",50,9,46.2000007629395,0,0
"2","1","fast","beh",51,15,46.7999992370605,0,1
"2","1","fast","beh",52,15,46.9000015258789,0,1
"2","1","fast","beh",53,24,48.5,1,1
"2","1","fast","beh",54,18,45.7000007629395,0,0
"2","1","fast","beh",55,0,46.7999992370605,1,0
"2","1","fast","beh",56,21,45.7000007629395,1,1
"2","1","fast","beh",57,27,48.5,1,1
"2","1","fast","beh",58,6,45.2000007629395,1,0
"2","1","fast","beh",59,21,45.4000015258789,0,1
"2","1","fast","beh",60,24,46.9000015258789,0,1
"2","1","fast","beh",61,0,47.0999984741211,1,0
"2","1","fast","beh",62,24,45.5999984741211,0,1
"2","1","fast","beh",63,18,46.5999984741211,1,1
"2","1","fast","beh",64,12,44.9000015258789,1,0
"2","1","fast","beh",65,27,48.2999992370605,1,1
"2","1","fast","beh",66,21,47.9000015258789,1,1
"2","1","fast","beh",67,24,45.4000015258789,0,0
"2","1","fast","beh",68,3,45.2000007629395,1,0
"2","1","fast","beh",69,12,47.2000007629395,1,1
"2","1","fast","beh",70,9,44.2000007629395,0,1
"2","1","fast","beh",71,18,46.2999992370605,0,1
"2","1","fast","beh",72,21,45.2000007629395,0,1
"2","1","fast","beh",73,12,47.2000007629395,1,0
"2","1","fast","beh",74,9,45.5999984741211,0,0
"2","1","fast","beh",75,0,45.7999992370605,0,0
"2","1","fast","beh",76,27,45.7000007629395,0,1
"2","1","fast","beh",77,3,46.7000007629395,1,0
"2","1","fast","beh",78,15,44.9000015258789,0,1
"2","1","fast","beh",79,9,47.0999984741211,0,1
"2","1","fast","beh",80,18,46.5999984741211,0,1
"2","1","fast","beh",81,21,48.0999984741211,1,1
"2","1","fast","beh",82,9,46.0999984741211,1,0
"2","1","fast","beh",83,3,44,0,0
"2","1","fast","beh",84,3,45.4000015258789,0,0
"2","1","fast","beh",85,3,47,1,0
"2","1","fast","beh",86,24,45.5,0,1
"2","1","fast","beh",87,27,47,0,1
"2","1","fast","beh",88,9,47.4000015258789,1,0
"2","1","fast","beh",89,27,48.2999992370605,1,1
