"sub","ses","task","datatype","trial_n","quality","threshold","threshold_se","slope","slope_se","response","stim"
1,1,"psi","beh",1,"cold",10.7645321789559,7.97036696593144,0.0644666962123706,1.11120634859168,0,12.1000003814697
1,1,"psi","beh",2,"cold",9.02946083708406,8.24658989637908,0.0611918775706262,1.13617118385709,0,5.59999990463257
1,1,"psi","beh",3,"cold",7.13011850664382,7.42768989999801,0.133344328825579,1.14001576298308,0,12.8999996185303
1,1,"psi","beh",4,"cold",6.1401603263882,7.62243666786035,0.133431108226199,1.16402365833732,0,2.59999990463257
1,1,"psi","beh",5,"cold",4.42404819930853,6.46722769013373,0.287444892062189,1.08362261405488,0,8.69999980926514
1,1,"psi","beh",6,"cold",3.707539372726,6.37838165784646,0.333817307069627,1.09344853229042,0,1.39999997615814
1,1,"psi","beh",7,"cold",2.50698728287839,5.20074012218469,0.637234217982504,0.970380646612854,0,3.29999995231628
1,1,"psi","beh",8,"cold",2.96854339807616,5.39378107363764,0.536182020143769,0.984769462708661,1,0.800000011920929
1,1,"psi","beh",9,"cold",2.62869556008031,4.80233106514443,0.756346738611415,0.910071429956247,1,0
1,1,"psi","beh",10,"cold",3.82519189141725,6.55733876166403,0.220325652013202,1.03396028285894,0,0
1,1,"psi","beh",11,"cold",2.55810028119058,5.25209182708436,0.396477649221377,0.895175366767846,0,7.80000019073486
1,1,"psi","beh",12,"cold",1.73819956196666,4.13112168132397,0.61819519325115,0.762792847940514,0,4
1,1,"psi","beh",13,"cold",1.22750600348291,3.30715390018968,0.861130954997342,0.662058580123635,0,2.20000004768372
1,1,"psi","beh",14,"cold",0.889802636352012,2.72354265785625,1.10607520077343,0.589924759238366,0,1.39999997615814
1,1,"psi","beh",15,"cold",0.64568057159431,2.25173456957787,1.35893801424142,0.528863533523891,0,1.10000002384186
1,1,"psi","beh",16,"cold",0.83098070631082,2.44477851661795,1.19638333070663,0.546850015484922,1,0.5
1,1,"psi","beh",17,"cold",0.810763626510449,2.86152206883022,0.954148889313804,0.598069226310165,0,0
1,1,"psi","beh",18,"cold",1.48147569923108,4.04349200320837,0.53040902922838,0.733207799891339,1,1.70000004768372
1,1,"psi","beh",19,"cold",3.03130444808133,5.93324698135145,0.201183379924162,0.924544231614669,1,3.5
1,1,"psi","beh",20,"cold",2.01198101675711,4.65505755586751,0.321896502772414,0.77899307437345,0,10.8000001907349
1,1,"psi","beh",21,"cold",1.38043139329095,3.58535595392613,0.451199214074294,0.64910527175208,0,6.30000019073486
1,1,"psi","beh",22,"cold",2.48769010838223,5.10293431539989,0.216916194003546,0.7923541526501,1,3.79999995231628
1,1,"psi","beh",23,"cold",1.73553801693745,3.9430106539819,0.30839316830117,0.657469383392202,0,11.1000003814697
1,1,"psi","beh",24,"cold",1.28127773591592,3.04336148513769,0.397147167986065,0.550759614013679,0,6.59999990463257
1,1,"psi","beh",25,"cold",2.06902348635164,4.2727244530944,0.231454419162866,0.664906637619643,1,4.30000019073486
1,1,"psi","beh",26,"cold",1.54430523401212,3.28226541384186,0.299256506797259,0.547537881827984,0,10.5
1,1,"psi","beh",27,"cold",1.22753253001848,2.55270540435907,0.360394230509088,0.461513944650041,0,6.80000019073486
1,1,"psi","beh",28,"cold",1.02050137423502,2.0309103616867,0.416666391052026,0.403140809104707,0,4.90000009536743
