id,tcold,twarm_25,twarm_50,twarm_75
3,0,17.6423454284668,19.9485130310059,22.2692527770996
3,0.1,17.6765365600586,19.9827041625977,22.3034439086914
3,0.2,17.7171115875244,20.0232791900635,22.3440189361572
3,0.3,17.7605056762695,20.0666732788086,22.3874130249023
3,0.4,17.805835723877,20.112003326416,22.4327430725098
3,0.5,17.8526649475098,20.1588325500488,22.4795722961426
3,0.6,17.9007225036621,20.2068901062012,22.5276298522949
3,0.7,17.9498291015625,20.2559967041016,22.5767364501953
3,0.8,17.9998474121094,20.3060150146484,22.6267547607422
3,0.9,18.0506801605225,20.3568477630615,22.6775875091553
3,1,18.1022472381592,20.4084148406982,22.729154586792
3,1.1,18.154483795166,20.4606513977051,22.7813911437988
3,1.2,18.2073364257812,20.5135040283203,22.8342437744141
3,1.3,18.2607593536377,20.5669269561768,22.8876667022705
3,1.4,18.3147144317627,20.6208820343018,22.9416217803955
3,1.5,18.3691673278809,20.6753349304199,22.9960746765137
3,1.6,18.4240913391113,20.7302589416504,23.0509986877441
3,1.7,18.4794578552246,20.7856254577637,23.1063652038574
3,1.8,18.5352478027344,20.8414154052734,23.1621551513672
3,1.9,18.5914363861084,20.8976039886475,23.2183437347412
3,2,18.6480083465576,20.9541759490967,23.2749156951904
3,2.1,18.7049446105957,21.0111122131348,23.3318519592285
3,2.2,18.7622318267822,21.0683994293213,23.389139175415
3,2.3,18.8198547363281,21.1260223388672,23.4467620849609
3,2.4,18.8778038024902,21.1839714050293,23.504711151123
3,2.5,18.9360618591309,21.2422294616699,23.5629692077637
3,2.6,18.9946212768555,21.3007888793945,23.6215286254883
3,2.7,19.0534725189209,21.35964012146,23.6803798675537
3,2.8,19.1126041412354,21.4187717437744,23.7395114898682
3,2.9,19.1720085144043,21.4781761169434,23.7989158630371
3,3,19.2316780090332,21.5378456115723,23.858585357666
3,3.1,19.2916030883789,21.597770690918,23.9185104370117
3,3.2,19.3517780303955,21.6579456329346,23.9786853790283
3,3.3,19.4121952056885,21.7183628082275,24.0391025543213
3,3.4,19.4728488922119,21.779016494751,24.0997562408447
3,3.5,19.5337333679199,21.839900970459,24.1606407165527
3,3.6,19.594841003418,21.901008605957,24.2217483520508
3,3.7,19.6561679840088,21.9623355865479,24.2830753326416
3,3.8,19.7177085876465,22.0238761901855,24.3446159362793
3,3.9,19.7794589996338,22.0856266021729,24.4063663482666
3,4,19.8414134979248,22.1475811004639,24.4683208465576
3,4.1,19.9035682678223,22.2097358703613,24.5304756164551
3,4.2,19.9659156799316,22.2720832824707,24.5928230285645
3,4.3,20.0284576416016,22.3346252441406,24.6553649902344
3,4.4,20.0911865234375,22.3973541259766,24.7180938720703
3,4.5,20.1540985107422,22.4602661132812,24.781005859375
3,4.6,20.2171897888184,22.5233573913574,24.8440971374512
3,4.7,20.280460357666,22.5866279602051,24.9073677062988
3,4.8,20.3439025878906,22.6500701904297,24.9708099365234
3,4.9,20.4075164794922,22.7136840820312,25.034423828125
3,5,20.4712963104248,22.7774639129639,25.0982036590576
3,5.1,20.5352420806885,22.8414096832275,25.1621494293213
3,5.2,20.5993480682373,22.9055156707764,25.2262554168701
3,5.3,20.6636142730713,22.9697818756104,25.2905216217041
3,5.4,20.7280368804932,23.0342044830322,25.354944229126
3,5.5,20.7926120758057,23.0987796783447,25.4195194244385
3,5.6,20.8573398590088,23.1635074615479,25.4842472076416
3,5.7,20.9222145080566,23.2283821105957,25.5491218566895
3,5.8,20.9872379302979,23.2934055328369,25.6141452789307
3,5.9,21.0524044036865,23.3585720062256,25.6793117523193
3,6,21.1177139282227,23.4238815307617,25.7446212768555
3,6.1,21.1831645965576,23.4893321990967,25.8100719451904
3,6.2,21.2487525939941,23.5549201965332,25.875659942627
3,6.3,21.3144779205322,23.6206455230713,25.941385269165
3,6.4,21.3803367614746,23.6865043640137,26.0072441101074
3,6.5,21.4463291168213,23.7524967193604,26.0732364654541
3,6.6,21.512451171875,23.8186187744141,26.1393585205078
3,6.7,21.5787029266357,23.8848705291748,26.2056102752686
3,6.8,21.6450805664062,23.9512481689453,26.2719879150391
3,6.9,21.7115859985352,24.0177536010742,26.338493347168
3,7,21.7782154083252,24.0843830108643,26.405122756958
3,7.1,21.8449668884277,24.1511344909668,26.4718742370605
3,7.2,21.9118404388428,24.2180080413818,26.5387477874756
3,7.3,21.978832244873,24.2849998474121,26.6057395935059
3,7.4,22.0459442138672,24.3521118164062,26.6728515625
3,7.5,22.1131706237793,24.4193382263184,26.7400779724121
3,7.6,22.1805152893066,24.4866828918457,26.8074226379395
3,7.7,22.2479724884033,24.5541400909424,26.8748798370361
3,7.8,22.3155422210693,24.6217098236084,26.9424495697021
3,7.9,22.3832244873047,24.6893920898438,27.0101318359375
3,8,22.4510173797607,24.7571849822998,27.0779247283936
3,8.1,22.5189189910889,24.8250865936279,27.1458263397217
3,8.2,22.5869274139404,24.8930950164795,27.2138347625732
3,8.3,22.6550445556641,24.9612121582031,27.2819519042969
3,8.4,22.7232666015625,25.0294342041016,27.3501739501953
3,8.5,22.7915935516357,25.0977611541748,27.4185009002686
3,8.6,22.8600234985352,25.1661911010742,27.486930847168
3,8.7,22.9285564422607,25.2347240447998,27.5554637908936
3,8.8,22.9971904754639,25.3033580780029,27.6240978240967
3,8.9,23.0659255981445,25.3720932006836,27.6928329467773
3,9,23.1347599029541,25.4409275054932,27.7616672515869
3,9.1,23.2036933898926,25.5098609924316,27.8306007385254
3,9.2,23.2727241516113,25.5788917541504,27.8996315002441
3,9.3,23.3418502807617,25.6480178833008,27.9687576293945
