SubID,trialN,repetitionN,thresholdProb,gainFract,targetTwarm,targetTcold,StimType,StimDuration,vasType,vasResponse,vasReactionTime
24,21,3,0.75,0.75,46.2000007629395,4.09999990463257,TGI,8.47261430000003,Cold,0,2.03674340003636
24,22,1,0.5,0.25,30,3.90000009536743,Cold,8.64234310000001,Cold,40.1041666666667,3.4233873001067
24,23,3,0.25,0.25,43.5,7.30000019073486,TGI,6.98160600000006,Cold,0,1.78419150004629
24,24,4,0.25,0.25,30,7.30000019073486,Cold,7.10910940000008,Cold,22.9166666666667,1.30242690001614
24,25,2,0.75,0.75,30,4.09999990463257,Cold,8.5472635000001,Cold,72.2916666666667,1.34576450008899
24,26,1,0.5,0.25,44.2999992370605,3.90000009536743,TGI,8.92816260000006,Cold,0,2.77930070005823
24,27,2,0.25,0.5,44.7000007629395,14.5,TGI,4.43351180000002,Cold,0,3.56355500000063
24,28,1,0.25,0.5,30,14.5,Cold,5.76479809999989,Cold,70.625,2.19239780004136
24,29,1,0.75,0.5,45.5999984741211,30,Warm,4.38071360000004,Cold,0,2.77683799993247
24,30,2,0.75,0.5,45.5999984741211,2.70000004768372,TGI,10.1998203000001,Cold,0.729166666666667,4.0804167999886
24,31,4,0.75,0.75,46.2000007629395,4.09999990463257,TGI,8.92538920000004,Cold,0,2.71836830000393
24,32,1,0.25,0.75,45.4000015258789,21.7999992370605,TGI,4.592895,Cold,2.8125,2.6219297000207
24,33,2,0.25,0.25,43.5,30,Warm,3.9395538,Cold,0,2.25335930008441
24,34,1,0.5,0.75,30,11.8000001907349,Cold,5.45707760000005,Cold,58.0208333333333,2.40334199997596
24,35,2,0.75,0.5,45.5999984741211,30,Warm,4.39661960000001,Cold,8.75,1.77778270002455
24,36,1,0.75,0.25,30,1.39999997615814,Cold,10.3456731,Cold,57.2916666666667,2.9240209000418
24,37,2,0.5,0.25,44.2999992370605,3.90000009536743,TGI,8.86334290000002,Cold,19.375,1.76998500002082
24,38,2,0.75,0.25,30,1.39999997615814,Cold,10.4597726,Cold,26.3541666666667,1.12933459994383
24,39,1,0.5,0.5,30,7.90000009536743,Cold,6.13727619999997,Cold,27.7083333333333,1.18319749995135
24,40,2,0.5,0.5,30,7.90000009536743,Cold,6.72925099999998,Cold,53.5416666666667,1.96941880008671
24,41,3,0.75,0.5,45.5999984741211,2.70000004768372,TGI,10.0520625,Cold,5.72916666666667,2.2836889999453
24,42,4,0.75,0.5,45.5999984741211,2.70000004768372,TGI,9.78283799999997,Cold,2.39583333333333,2.3943468000507
24,43,2,0.5,0.75,30,11.8000001907349,Cold,5.44360859999995,Cold,60.1041666666667,1.13534899998922
24,44,3,0.75,0.25,30,1.39999997615814,Cold,10.2646980000001,Cold,57.1875,1.71448139997665
24,45,1,0.5,0.75,46.0999984741211,30,Warm,4.82201239999995,Cold,0,3.28768060007133
24,46,2,0.75,0.25,44.7000007629395,1.39999997615814,TGI,11.2066867,Cold,11.5625,2.33092239999678
24,47,2,0.25,0.75,45.4000015258789,21.7999992370605,TGI,4.56476580000003,Cold,2.29166666666667,2.54582650004886
