id,warmT,coldT,burn_yn,cold_warm
3,35,27,1,1
3,38.7999992370605,12,1,1
3,34.2999992370605,12,1,0
3,36.4000015258789,24,1,0
3,30.3999996185303,27,0,0
3,34.0999984741211,24,0,0
3,30.7999992370605,15,1,0
3,32.9000015258789,0,1,0
3,45.7999992370605,27,1,1
3,30.7999992370605,12,1,0
3,31.8999996185303,18,1,0
3,32.4000015258789,27,0,1
3,32.7999992370605,21,1,1
3,39.5,27,1,1
3,32.9000015258789,27,0,0
3,35.7000007629395,27,0,1
3,30.2999992370605,24,0,0
3,37.5999984741211,27,0,1
3,40.7000007629395,27,1,1
3,32.2999992370605,24,0,0
3,31.2999992370605,21,0,0
3,34.7999992370605,24,0,1
3,35.9000015258789,24,0,1
3,39.0999984741211,27,1,1
3,34.4000015258789,21,0,0
3,30.3999996185303,18,0,0
3,36,24,0,1
3,32.4000015258789,24,0,0
3,32.9000015258789,15,1,0
3,33.5,21,0,1
3,36.5,27,1,1
3,32.0999984741211,12,1,0
3,34.7000007629395,18,0,1
3,43.4000015258789,24,1,1
3,42,24,1,1
3,38.2999992370605,21,1,1
3,32.5,24,1,0
3,39.2999992370605,27,1,1
3,36.5999984741211,18,1,1
3,32.5,12,1,0
3,32.7000007629395,21,0,1
3,40.0999984741211,24,1,1
3,34.5999984741211,27,0,0
3,34.5,18,0,0
3,38.4000015258789,21,0,1
3,34.5999984741211,12,1,1
3,37.5,18,1,1
3,33.4000015258789,12,1,0
3,30.1000003814697,6,1,0
3,41.5999984741211,24,1,1
3,33.7999992370605,15,0,0
3,35,15,1,0
3,30.5,24,0,0
3,44.9000015258789,27,1,1
3,44.4000015258789,27,1,1
3,41.0999984741211,24,1,1
3,31.1000003814697,24,0,0
3,33.5999984741211,21,0,0
3,33.9000015258789,21,0,0
3,36.5,24,0,1
3,34.4000015258789,21,0,0
3,30.5,15,1,0
3,36.7999992370605,24,0,0
3,30.5,21,1,0
3,36.7000007629395,24,1,1
3,34.0999984741211,27,0,1
3,34.5999984741211,15,1,1
3,33.7999992370605,21,0,0
3,32.5999984741211,12,1,0
3,32.2000007629395,12,1,0
3,36.7000007629395,24,0,1
3,41.7000007629395,24,1,1
3,33.9000015258789,15,1,0
3,35.4000015258789,27,0,1
3,35.7999992370605,27,0,1
3,44,27,1,1
3,34.2000007629395,21,0,0
3,37.7000007629395,21,0,0
3,34.4000015258789,21,1,1
3,33.9000015258789,15,1,1
3,37,24,0,1
3,37.2000007629395,24,1,1
3,35.7000007629395,27,0,1
3,33.5,15,1,0
3,41.0999984741211,24,1,1
3,31.7000007629395,18,0,0
3,31.2999992370605,21,0,0
3,34.2999992370605,24,0,0
3,30.8999996185303,12,1,0
3,30.2999992370605,15,1,0
3,37.2999992370605,21,1,1
3,39.5,24,1,1
3,37.2999992370605,27,0,1
3,30.2999992370605,15,0,0
3,30.7000007629395,18,0,0
3,36.5,21,0,1
3,32.7000007629395,18,1,0
3,32.5999984741211,18,0,0
3,34.9000015258789,21,1,1
3,37.0999984741211,24,1,1
4,35,27,0,1
4,33.2000007629395,0,1,0
4,38.2999992370605,18,0,1
4,32.0999984741211,0,1,0
4,37.0999984741211,12,1,1
4,32,6,1,0
4,36.5999984741211,18,0,1
4,47.9000015258789,24,1,1
4,30.1000003814697,9,0,0
4,46.2000007629395,24,1,1
4,30.2999992370605,6,0,0
4,44.5999984741211,27,1,1
4,42.7999992370605,18,0,1
4,47.0999984741211,12,1,1
4,34.7000007629395,27,0,1
4,38.7000007629395,18,0,1
4,36.0999984741211,12,1,0
4,30.5,18,0,0
4,46.4000015258789,18,1,1
4,35.2999992370605,21,0,0
4,30.2000007629395,0,1,0
4,47.5999984741211,24,1,1
4,40.2999992370605,24,0,1
4,43.7000007629395,24,0,1
4,34,6,0,1
4,36.2999992370605,18,0,1
4,43.2000007629395,27,0,1
4,41.9000015258789,24,0,1
4,46.4000015258789,27,1,1
4,45.9000015258789,27,0,1
4,34.7999992370605,12,0,0
4,48,27,1,1
4,39.0999984741211,15,1,0
4,37.0999984741211,15,0,1
4,32.0999984741211,6,1,0
4,40.9000015258789,21,0,1
4,45.5999984741211,24,1,1
4,38.7000007629395,15,0,1
4,37.4000015258789,15,0,1
4,42.7000007629395,24,0,1
4,45.7000007629395,27,1,1
4,37.4000015258789,15,1,0
4,47.0999984741211,27,1,1
4,44.0999984741211,24,1,1
4,38.0999984741211,12,0,1
4,47.0999984741211,27,1,1
4,36.7000007629395,12,1,0
4,40.2000007629395,15,1,0
4,37.4000015258789,15,1,1
4,44.2000007629395,27,1,1
4,42.4000015258789,21,0,1
4,38.7000007629395,15,1,1
4,45.5999984741211,27,1,1
4,47.2000007629395,27,1,1
4,40.2000007629395,15,1,0
4,39.0999984741211,18,0,1
4,33.0999984741211,6,1,0
4,42,18,0,1
4,44.0999984741211,24,0,1
4,31.7000007629395,6,1,0
4,35.7999992370605,9,1,0
4,42,18,0,1
4,32.9000015258789,9,1,0
4,43.9000015258789,21,0,1
4,32.5999984741211,9,0,0
4,37.0999984741211,15,0,1
4,42.4000015258789,21,1,0
4,33.2000007629395,6,1,0
4,44.2000007629395,27,0,1
4,32.9000015258789,9,0,0
4,42,18,0,1
4,43.9000015258789,21,0,1
4,34.2999992370605,9,0,0
4,44.0999984741211,24,0,1
4,33.2000007629395,6,0,0
4,40.7000007629395,21,0,1
4,47.2999992370605,27,1,1
4,42.5999984741211,24,0,1
4,44.0999984741211,24,1,1
4,45.7000007629395,27,1,1
4,42.4000015258789,21,0,0
4,32.9000015258789,9,1,0
4,45.7000007629395,27,1,1
4,34.4000015258789,9,0,0
4,35.0999984741211,12,1,0
4,32.5999984741211,9,1,0
4,31.7000007629395,6,0,0
4,45.7000007629395,27,1,1
4,42.4000015258789,21,0,1
4,44.0999984741211,24,1,1
4,45.5999984741211,27,1,1
4,43.4000015258789,27,0,1
4,38.5999984741211,18,0,0
4,40.5999984741211,15,0,1
4,42.4000015258789,21,0,1
4,44.0999984741211,24,0,1
4,40.7000007629395,18,1,1
4,43.2999992370605,27,0,1
4,34.7000007629395,12,1,0
4,42.9000015258789,27,0,1
5,35,27,1,1
5,31,15,0,0
5,40.7000007629395,27,0,1
5,36.9000015258789,9,1,0
5,48.7999992370605,6,1,1
5,47,9,1,1
5,34,15,0,0
5,37.7999992370605,18,0,0
5,33.5,6,1,0
5,41.0999984741211,21,1,1
5,44.7000007629395,6,1,1
5,36.2000007629395,18,0,1
5,31.2000007629395,6,0,0
5,42.2999992370605,24,0,1
5,41.2000007629395,21,0,1
5,43.5999984741211,0,1,1
5,39.9000015258789,18,0,1
5,45.9000015258789,24,0,1
5,46.7000007629395,9,1,0
5,35.2999992370605,9,0,0
5,34.7999992370605,6,0,0
5,37.7000007629395,9,0,0
5,37.2999992370605,6,1,1
5,31.8999996185303,0,1,1
5,39.5999984741211,0,1,1
5,39,12,0,1
5,44.2000007629395,18,0,1
5,42.9000015258789,15,1,1
5,35.0999984741211,18,0,1
5,48.2999992370605,12,1,1
5,32.2000007629395,3,1,0
5,44.4000015258789,18,0,1
5,32.9000015258789,12,0,1
5,41.5,21,0,1
5,34.5,12,0,0
5,37.9000015258789,15,0,1
